"JOSE NAGIB ASSIS";"PMDB";"848";"5.19";"APARECIDA";"1982"
"LUIZ ANTONIO DE MOURA";"PT";"568";"3.48";"APARECIDA";"1982"
"BENEDICTO LOURENCO BARBOSA";"PTB";"248";"1.52";"APARECIDA";"1982"
"JOSE BENEDITO DA SILVA";"PDT";"58";"0.35";"APARECIDA";"1982"
"FRANCISCA CONCEICAO BENTO";"PTB";"58";"0.35";"APARECIDA";"1982"
"BENEDITO DE OLIVEIRA";"PMDB";"919";"30.7";"APARECIDA D'OESTE";"1982"
"VALDOMIRO ROSSI";"PDS";"884";"29.54";"APARECIDA D'OESTE";"1982"
"MARIO RODRIGUES DE SANTANA";"PDS";"664";"22.19";"APARECIDA D'OESTE";"1982"
"PEDRO BOAVENTURA PINTO";"PMDB";"366";"12.23";"APARECIDA D'OESTE";"1982"
"HILARIO BOLOGNIN";"PDS";"13";"0.43";"APARECIDA D'OESTE";"1982"
"BENEDITO DE OLIVEIRA";"PMDB";"919";"30.7";"APARECIDA D'OESTE";"1982"
"VALDOMIRO ROSSI";"PDS";"884";"29.54";"APARECIDA D'OESTE";"1982"
"MARIO RODRIGUES DE SANTANA";"PDS";"664";"22.19";"APARECIDA D'OESTE";"1982"
"PEDRO BOAVENTURA PINTO";"PMDB";"366";"12.23";"APARECIDA D'OESTE";"1982"
"HILARIO BOLOGNIN";"PDS";"13";"0.43";"APARECIDA D'OESTE";"1982"
"NILTON PASSOCA DE TOLEDO SILVA";"PMDB";"3548";"34.38";"APIAI";"1982"
"JOSE COELHO";"PDS";"2412";"23.37";"APIAI";"1982"
"ANTONIO DIMPINO PONTES";"PDS";"1760";"17.06";"APIAI";"1982"
"JOAO BENEDICTO BARBOSA";"PMDB";"1755";"17.01";"APIAI";"1982"
"NILTON PASSOCA DE TOLEDO SILVA";"PMDB";"3548";"34.38";"APIAI";"1982"
"JOSE COELHO";"PDS";"2412";"23.37";"APIAI";"1982"
"ANTONIO DIMPINO PONTES";"PDS";"1760";"17.06";"APIAI";"1982"
"JOAO BENEDICTO BARBOSA";"PMDB";"1755";"17.01";"APIAI";"1982"
"SYLVIO JOSE VENTUROLLI";"PDS";"16984";"29.48";"ARACATUBA";"1982"
"SIDNEY CINTI";"PMDB";"12280";"21.32";"ARACATUBA";"1982"
